local_id,syrve_guid
5b08a4c4-2453-a7f6-4275-4db8016a2e1f,5b08a4c4-2453-a7f6-4275-4db8016a2e1f
57cf4be9-739b-f21e-7d7d-31f595445ccf,57cf4be9-739b-f21e-7d7d-31f595445ccf
e87fe48c-6a67-407e-bd9f-23b0dddd9071,e87fe48c-6a67-407e-bd9f-23b0dddd9071
9a9e94a3-f8b8-42bf-9b13-b7a043f5eed6,9a9e94a3-f8b8-42bf-9b13-b7a043f5eed6
b11fe18d-6451-4e0a-846a-ffe235f09d2c,b11fe18d-6451-4e0a-846a-ffe235f09d2c
0735deed-d733-4618-bdc5-8ca48476720d,80f9859e-f5ca-4d0b-84cb-cf47418cd882
2636a651-423f-4e49-8ab8-4079500a3cc7,2636a651-423f-4e49-8ab8-4079500a3cc7
4bdd5059-973d-4d00-b989-d1b6e58c1f8d,4bdd5059-973d-4d00-b989-d1b6e58c1f8d
eb2f7014-3a29-4028-b80a-d07f617150a9,eb2f7014-3a29-4028-b80a-d07f617150a9
7229383e-c17a-46ea-9f80-4d9242978f90,7229383e-c17a-46ea-9f80-4d9242978f90
0dfd12cc-ecfb-414c-8a55-d5e3a61aeacb,0dfd12cc-ecfb-414c-8a55-d5e3a61aeacb
bd6114a9-c02e-4edc-84e9-1669a90e8f04,bd6114a9-c02e-4edc-84e9-1669a90e8f04
96fd705c-d246-4c35-ad5b-6e23bdb1bb07,96fd705c-d246-4c35-ad5b-6e23bdb1bb07
04a086f9-b763-42a2-8883-210941ffa608,04a086f9-b763-42a2-8883-210941ffa608
2123ef9e-d8fe-4744-a2db-2add77de2343,2123ef9e-d8fe-4744-a2db-2add77de2343
dba7451f-7528-44fe-8a98-01af9db633b9,dba7451f-7528-44fe-8a98-01af9db633b9
339f81ec-6186-498f-bb09-a52fd02fcacc,339f81ec-6186-498f-bb09-a52fd02fcacc
593a6c88-0d53-461f-bfd2-94a06e3f95ea,593a6c88-0d53-461f-bfd2-94a06e3f95ea
20cb9e3f-629a-490e-b69d-b350a2582b50,20cb9e3f-629a-490e-b69d-b350a2582b50
a85a00be-932c-4317-a750-84945f98c9a9,a85a00be-932c-4317-a750-84945f98c9a9
bc180408-8d09-4bed-93f1-f767d106afe4,bc180408-8d09-4bed-93f1-f767d106afe4
d241e255-5562-41f8-bc90-657747880a42,d241e255-5562-41f8-bc90-657747880a42
d3e20863-168e-4443-8df2-b16d0c4618a3,d3e20863-168e-4443-8df2-b16d0c4618a3
6deee696-7358-42bc-8921-2c9ea98693ba,6deee696-7358-42bc-8921-2c9ea98693ba
48bf7c28-e344-4a93-b091-d77ace017276,84ea4f5d-3537-4df8-851d-8dc8f8b91e8b
2a4b5ae1-0046-4fc5-9753-3b9b1e848515,2a4b5ae1-0046-4fc5-9753-3b9b1e848515
ca5a792c-148d-4ae8-bad8-40b29c7df51f,ca5a792c-148d-4ae8-bad8-40b29c7df51f
40e9ea8f-e331-4c21-b92e-1854ea1989f8,40e9ea8f-e331-4c21-b92e-1854ea1989f8
d0e7a739-a93c-461c-8708-c5a6d50cd761,d0e7a739-a93c-461c-8708-c5a6d50cd761
93388a20-46e3-4f9a-9a3a-5bef3308b522,e246242c-ca68-4c4e-80e8-bad60e5c4959
40c6c603-97d1-4421-b179-a7eb2ec1dc29,40c6c603-97d1-4421-b179-a7eb2ec1dc29
5d127dee-8191-4da9-9466-555958d93a49,5d127dee-8191-4da9-9466-555958d93a49
8a403968-029c-41e5-819d-58149667c312,9bac5140-1a98-442c-940d-ea4b9329d437
